,index,geo_index,height_mean,height_std,area_mean,area_std,Site,Year,0
5025,3031,731000_1992000,6.291950413301236,1.787821916223653,15.748428747217918,13.99299750162601,GUAN,2018,20315
5026,3032,731000_1994000,7.085632311557347,2.4142401745259714,13.826750039688726,11.410060075740429,GUAN,2018,25188
5027,3033,731000_3467000,11.976132506567058,4.987844720278861,30.17624043121115,30.02602069151255,JERC,2019,3461
5028,3033,731000_3467000,11.976132506567058,4.987844720278861,30.17624043121115,30.02602069151255,JERC,2018,5814
5029,3034,731000_4696000,13.644243761289687,6.229959995771033,20.047563325703216,18.23500150068343,HARV,2019,27984
5030,3034,731000_4696000,13.644243761289687,6.229959995771033,20.047563325703216,18.23500150068343,HARV,2018,17890
5031,3035,731000_4700000,18.080234831215567,4.272942049039153,19.666485997123075,17.655703000031792,HARV,2019,34724
5032,3035,731000_4700000,18.080234831215567,4.272942049039153,19.666485997123075,17.655703000031792,HARV,2018,29334
5033,3036,731000_4701000,17.822213508108966,5.579851050582082,21.95471335751827,20.613386592926478,HARV,2019,26528
5034,3036,731000_4701000,17.822213508108966,5.579851050582082,21.95471335751827,20.613386592926478,HARV,2018,22104
5035,3037,731000_4702000,18.788655199178656,4.632505379894047,20.431947755196614,17.553543432218607,HARV,2019,35715
5036,3037,731000_4702000,18.788655199178656,4.632505379894047,20.431947755196614,17.553543432218607,HARV,2018,29478
5037,3038,731000_4703000,19.759608399439355,4.550647083616887,22.05034862096527,19.581831363561804,HARV,2018,31344
5038,3038,731000_4703000,19.759608399439355,4.550647083616887,22.05034862096527,19.581831363561804,HARV,2019,36925
5039,3039,731000_4704000,18.693344657184035,5.6067506442171196,22.999895185532086,21.335772280093177,HARV,2019,31857
5040,3039,731000_4704000,18.693344657184035,5.6067506442171196,22.999895185532086,21.335772280093177,HARV,2018,25864
5041,3040,731000_4706000,18.340059024606607,5.245658840216519,23.937756063664203,22.931121322299365,HARV,2018,22002
5042,3040,731000_4706000,18.340059024606607,5.245658840216519,23.937756063664203,22.931121322299365,HARV,2019,26814
5043,3041,731000_4707000,16.045248051090724,5.966184204767727,23.557377609622673,23.658322621863686,HARV,2018,18909
5044,3041,731000_4707000,16.045248051090724,5.966184204767727,23.557377609622673,23.658322621863686,HARV,2019,24681
5045,3042,731000_4709000,17.950543426695617,5.743037024001333,22.906111228648914,23.32882887571576,HARV,2019,29009
5046,3042,731000_4709000,17.950543426695617,5.743037024001333,22.906111228648914,23.32882887571576,HARV,2018,23010
5047,3043,731000_4710000,15.794113600603488,5.682829815458776,22.307554173977323,21.175401678642256,HARV,2018,18806
5048,3043,731000_4710000,15.794113600603488,5.682829815458776,22.307554173977323,21.175401678642256,HARV,2019,24942
5049,3044,731000_4711000,16.43017348568157,5.837518876676295,22.331005857721248,22.94978422739399,HARV,2018,17061
5050,3044,731000_4711000,16.43017348568157,5.837518876676295,22.331005857721248,22.94978422739399,HARV,2019,22716
5051,3045,731000_4713000,17.767937028550442,3.9990318478676157,18.038303632371246,15.165748882620026,HARV,2018,40196
5052,3045,731000_4713000,17.767937028550442,3.9990318478676157,18.038303632371246,15.165748882620026,HARV,2019,47792
5053,3046,731000_4714000,17.861086884758056,4.379211739774784,21.97408306706872,20.898480127803335,HARV,2019,37866
5054,3046,731000_4714000,17.861086884758056,4.379211739774784,21.97408306706872,20.898480127803335,HARV,2018,31283
5055,3047,731000_4715000,16.01210209984282,4.137203468535555,21.466344059874324,19.50071721645324,HARV,2018,32319
5056,3047,731000_4715000,16.01210209984282,4.137203468535555,21.466344059874324,19.50071721645324,HARV,2019,37384
5057,3048,731000_4716000,15.54350753619278,4.162814353686384,20.52860222795248,18.802644479431347,HARV,2019,29895
5058,3048,731000_4716000,15.54350753619278,4.162814353686384,20.52860222795248,18.802644479431347,HARV,2018,24327
5059,3049,732000_1988000,4.938602198483236,1.832779209692604,14.612262554050272,15.265787724385454,GUAN,2018,5317
5060,3050,732000_1989000,7.27981148383487,2.8127282101936117,14.451894042291952,13.353312001300448,GUAN,2018,5153
5061,3051,732000_1993000,5.965722528852468,1.9674386612076982,14.487690752597471,12.945477103238892,GUAN,2018,17313
5062,3052,732000_1994000,6.169568122981227,1.9908118187186548,15.20734617015387,13.599918441692612,GUAN,2018,18852
5063,3053,732000_2006000,10.346290140531423,4.222911244802671,12.155672156374758,11.568693161529112,GUIL,2018,32485
5064,3054,732000_2007000,12.859877187661825,4.599843017112872,11.962471517984175,12.314114020745352,GUIL,2018,44414
5065,3055,732000_2009000,9.462496536538442,4.834889290460939,15.687872357264284,13.75533319076992,GUIL,2018,25258
5066,3056,732000_2010000,10.310849848807537,4.651257308669931,14.681345744870233,12.398122915900936,GUIL,2018,26803
5067,3057,732000_3462000,9.284900806984032,4.690145711932716,23.175271950815997,20.504881418620496,JERC,2018,8149
5068,3057,732000_3462000,9.284900806984032,4.690145711932716,23.175271950815997,20.504881418620496,JERC,2019,5199
5069,3058,732000_3463000,9.564872139700618,4.690474778766364,23.76033829496803,24.35349074336101,JERC,2019,9082
5070,3058,732000_3463000,9.564872139700618,4.690474778766364,23.76033829496803,24.35349074336101,JERC,2018,10871
5071,3059,732000_3464000,10.446971083919191,4.824245779880691,25.481693399929064,24.39445974947536,JERC,2018,6784
5072,3059,732000_3464000,10.446971083919191,4.824245779880691,25.481693399929064,24.39445974947536,JERC,2019,4625
5073,3060,732000_3465000,10.897695904796343,4.647825286042056,22.019254596785856,19.19867378183611,JERC,2019,15009
5074,3060,732000_3465000,10.897695904796343,4.647825286042056,22.019254596785856,19.19867378183611,JERC,2018,18275
5075,3061,732000_3466000,11.775460587714312,4.9001620797591,21.482398024816057,18.271577885240706,JERC,2019,15039
5076,3061,732000_3466000,11.775460587714312,4.9001620797591,21.482398024816057,18.271577885240706,JERC,2018,18376
5077,3062,732000_4698000,13.995379237124409,5.246753567126278,17.680102683635884,17.31878085462171,HARV,2019,34796
5078,3062,732000_4698000,13.995379237124409,5.246753567126278,17.680102683635884,17.31878085462171,HARV,2018,27434
5079,3063,732000_4699000,15.380480474037883,5.50223222425371,18.273945988911567,18.199141559352388,HARV,2018,29831
5080,3063,732000_4699000,15.380480474037883,5.50223222425371,18.273945988911567,18.199141559352388,HARV,2019,36933
5081,3064,732000_4701000,17.52028761221203,5.293807335534049,20.833271536974422,19.76569110217811,HARV,2018,27295
5082,3064,732000_4701000,17.52028761221203,5.293807335534049,20.833271536974422,19.76569110217811,HARV,2019,33496
5083,3065,732000_4702000,15.038870117479927,5.876289285739794,19.68935443850212,18.67416790711982,HARV,2019,35391
5084,3065,732000_4702000,15.038870117479927,5.876289285739794,19.68935443850212,18.67416790711982,HARV,2018,29080
5085,3066,732000_4703000,20.78038502696297,4.749629074706595,19.92925156046396,17.844149164461356,HARV,2018,32925
5086,3066,732000_4703000,20.78038502696297,4.749629074706595,19.92925156046396,17.844149164461356,HARV,2019,40294
5087,3067,732000_4705000,18.285449629255172,4.644057079372697,20.4577540306113,19.769154789036264,HARV,2019,39988
5088,3067,732000_4705000,18.285449629255172,4.644057079372697,20.4577540306113,19.769154789036264,HARV,2018,32769
5089,3068,732000_4706000,20.03645105730912,4.321339862572288,19.684420739196522,17.95005641577007,HARV,2019,40781
5090,3068,732000_4706000,20.03645105730912,4.321339862572288,19.684420739196522,17.95005641577007,HARV,2018,33089
5091,3069,732000_4707000,21.003114521527557,4.460825824755813,20.991226237043563,19.770949365915172,HARV,2019,37663
5092,3069,732000_4707000,21.003114521527557,4.460825824755813,20.991226237043563,19.770949365915172,HARV,2018,31720
5093,3070,732000_4709000,19.253026831737728,4.458505473484856,22.007279443972223,21.21782254194922,HARV,2019,37536
5094,3070,732000_4709000,19.253026831737728,4.458505473484856,22.007279443972223,21.21782254194922,HARV,2018,31086
5095,3071,732000_4710000,17.57445602287956,4.666654551073652,19.733892450914556,18.583471209777684,HARV,2019,40978
5096,3071,732000_4710000,17.57445602287956,4.666654551073652,19.733892450914556,18.583471209777684,HARV,2018,34355
5097,3072,732000_4715000,15.921933410534416,4.550903364033943,20.566709429713658,19.08542250403015,HARV,2018,27174
5098,3072,732000_4715000,15.921933410534416,4.550903364033943,20.566709429713658,19.08542250403015,HARV,2019,34016
5099,3073,732000_4716000,15.944507246874485,5.152507828943966,20.549867164923846,19.619946472924017,HARV,2019,32315
5100,3073,732000_4716000,15.944507246874485,5.152507828943966,20.549867164923846,19.619946472924017,HARV,2018,26028
5101,3074,732000_4717000,16.202894450008767,5.8604971106250625,17.977246490476162,17.77379731474723,HARV,2019,28066
5102,3075,733000_2007000,12.006255462134162,4.557091450573105,12.015911278919596,11.827955524414353,GUIL,2018,45288
5103,3076,733000_2011000,12.578380581008163,6.057315536462297,14.666052583767616,13.487167246658943,GUIL,2018,22022
5104,3077,733000_3459000,10.204504038761392,4.259068154080601,21.840368753017867,17.615985365263427,JERC,2018,12366
5105,3078,733000_3460000,13.839571220064563,5.861020064626142,33.22476278923045,28.063803801624548,JERC,2018,7445
5106,3078,733000_3460000,13.839571220064563,5.861020064626142,33.22476278923045,28.063803801624548,JERC,2019,5476
5107,3079,733000_3461000,12.952435985356907,6.77774758596881,33.309145476921046,29.383389991603373,JERC,2019,5426
5108,3079,733000_3461000,12.952435985356907,6.77774758596881,33.309145476921046,29.383389991603373,JERC,2018,7552
5109,3080,733000_3462000,12.84327306996554,6.399978400749296,24.562759994146298,22.130885444434405,JERC,2018,13548
5110,3080,733000_3462000,12.84327306996554,6.399978400749296,24.562759994146298,22.130885444434405,JERC,2019,7039
5111,3081,733000_3463000,11.238672787033293,4.430909456825438,26.858613293681334,25.323731727475426,JERC,2018,5295
5112,3081,733000_3463000,11.238672787033293,4.430909456825438,26.858613293681334,25.323731727475426,JERC,2019,4123
5113,3082,733000_3466000,14.696293989164106,6.976988631806185,23.448060670199364,19.810348683597145,JERC,2019,10347
5114,3082,733000_3466000,14.696293989164106,6.976988631806185,23.448060670199364,19.810348683597145,JERC,2018,11377
5115,3083,733000_3467000,14.786975518016956,6.235462409955782,25.003848924162924,23.29985668251043,JERC,2018,6014
5116,3083,733000_3467000,14.786975518016956,6.235462409955782,25.003848924162924,23.29985668251043,JERC,2019,4815
5117,3084,733000_4696000,16.257748874706817,5.279387720382822,19.965370799577194,19.84093334668333,HARV,2019,34520
5118,3085,733000_4697000,14.72659429759991,6.193609561750035,19.945782527491133,19.271576661289583,HARV,2018,23724
5119,3085,733000_4697000,14.72659429759991,6.193609561750035,19.945782527491133,19.271576661289583,HARV,2019,29239
5120,3086,733000_4698000,15.762416729696271,5.941166014935238,19.153073500128194,18.815192406550917,HARV,2018,29587
5121,3086,733000_4698000,15.762416729696271,5.941166014935238,19.153073500128194,18.815192406550917,HARV,2019,36032
5122,3087,733000_4705000,20.327013766766093,5.0456223226270644,19.149207299753865,16.70673354885072,HARV,2018,31105
5123,3087,733000_4705000,20.327013766766093,5.0456223226270644,19.149207299753865,16.70673354885072,HARV,2019,35528
5124,3088,733000_4706000,20.995156291736983,4.833337029326745,21.37703174107509,19.528224574811343,HARV,2019,33423
5125,3088,733000_4706000,20.995156291736983,4.833337029326745,21.37703174107509,19.528224574811343,HARV,2018,29587
5126,3089,733000_4707000,19.80293872315006,4.438904514215042,20.202506484949588,17.347447732234876,HARV,2018,30215
5127,3089,733000_4707000,19.80293872315006,4.438904514215042,20.202506484949588,17.347447732234876,HARV,2019,33009
5128,3090,733000_4708000,19.10962481348195,6.066753382952725,22.982125418433913,22.340633115671828,HARV,2019,20362
