Site,geo_index,Year,0
WREF,579000_5073000,2018,25366
WREF,583000_5078000,2018,25840
TEAK,318000_4102000,2018,15046
OSBS,395000_3283000,2018,12828
SOAP,294000_4102000,2019,19387
OSBS,395000_3284000,2019,18250
TEAK,314000_4100000,2019,21510
WREF,578000_5077000,2019,45496
BART,313000_4880000,2019,56516
WREF,580000_5071000,2018,11984
SOAP,298000_4104000,2019,32293
BONA,482000_7225000,2019,35716
WREF,578000_5073000,2018,31682
WREF,571000_5071000,2018,27318
WREF,581000_5076000,2019,26572
BONA,477000_7224000,2018,19729
WREF,575000_5071000,2018,26372
TEAK,320000_4093000,2019,18078
OSBS,409000_3282000,2018,25428
BONA,476000_7226000,2019,30012
WREF,575000_5070000,2019,25666
BART,313000_4882000,2018,34230
OSBS,408000_3280000,2019,31046
WREF,573000_5081000,2018,18831
TEAK,321000_4103000,2019,15726
OSBS,406000_3285000,2018,26792
OSBS,408000_3284000,2019,14791
TEAK,322000_4094000,2018,5627
TEAK,324000_4105000,2018,4904
BONA,483000_7227000,2018,46152
TEAK,313000_4103000,2018,18208
BART,315000_4878000,2018,44147
TEAK,317000_4107000,2018,5266
DELA,427000_3599000,2019,3216
SOAP,297000_4097000,2019,23155
BONA,478000_7225000,2018,9202
WREF,574000_5070000,2018,23024
BART,316000_4874000,2019,38303
TEAK,320000_4105000,2018,10225
WREF,577000_5081000,2019,26135
OSBS,402000_3289000,2018,9360
BONA,481000_7234000,2019,10853
SOAP,302000_4101000,2019,21192
SOAP,300000_4106000,2019,32157
BART,316000_4875000,2018,34515
TEAK,321000_4102000,2019,11810
BONA,474000_7234000,2018,23337
SOAP,302000_4105000,2019,13282
SOAP,300000_4099000,2019,22694
BONA,482000_7232000,2018,14445
BART,322000_4881000,2018,40733
WREF,581000_5072000,2018,19949
SOAP,299000_4100000,2018,12462
BONA,479000_7226000,2018,1064
OSBS,402000_3280000,2018,535
BONA,472000_7229000,2018,78682
DELA,425000_3602000,2019,20320
SOAP,303000_4103000,2019,21344
OSBS,401000_3278000,2018,46391
WREF,570000_5078000,2018,20009
WREF,574000_5076000,2019,33820
SOAP,301000_4096000,2019,15304
OSBS,410000_3279000,2019,28543
WREF,581000_5075000,2018,21365
TEAK,320000_4103000,2019,18143
BART,321000_4874000,2019,31939
BONA,481000_7224000,2018,6189
SOAP,298000_4107000,2019,27766
TEAK,324000_4104000,2019,11788
OSBS,407000_3283000,2019,28766
TEAK,320000_4107000,2018,5093
OSBS,396000_3283000,2018,3840
BONA,477000_7230000,2018,54350
DELA,428000_3601000,2019,3067
TEAK,320000_4100000,2019,14479
SOAP,294000_4098000,2019,12349
SOAP,302000_4102000,2019,28996
BART,320000_4874000,2019,36241
BONA,480000_7223000,2018,1601
WREF,582000_5078000,2019,33661
OSBS,411000_3280000,2019,28306
BONA,474000_7228000,2019,39621
BONA,483000_7222000,2018,2001
WREF,578000_5073000,2019,39564
SOAP,303000_4103000,2018,17551
TEAK,322000_4100000,2019,33930
SOAP,303000_4099000,2019,25769
TEAK,322000_4095000,2018,11105
TEAK,321000_4095000,2019,35802
OSBS,409000_3285000,2018,28727
OSBS,407000_3285000,2018,26649
OSBS,399000_3287000,2019,37336
OSBS,399000_3282000,2018,20236
OSBS,401000_3281000,2019,26625
OSBS,401000_3280000,2019,14395
OSBS,409000_3286000,2019,12559
TEAK,319000_4102000,2019,19484
OSBS,396000_3282000,2019,3746
BONA,480000_7222000,2019,7750
BART,319000_4882000,2018,29579
WREF,580000_5077000,2018,22389
TEAK,318000_4103000,2019,13819
WREF,582000_5079000,2018,32294
OSBS,405000_3278000,2018,19680
TEAK,314000_4094000,2019,25429
OSBS,406000_3282000,2018,16195
WREF,580000_5077000,2019,25717
WREF,574000_5070000,2019,29321
WREF,593000_5077000,2018,27470
SOAP,301000_4108000,2019,24206
TEAK,322000_4105000,2019,12552
WREF,580000_5073000,2018,20779
DELA,419000_3603000,2019,30840
BONA,479000_7223000,2018,8325
BONA,482000_7229000,2019,5234
WREF,579000_5071000,2018,20586
BART,321000_4882000,2019,35175
SOAP,303000_4097000,2019,25510
OSBS,399000_3276000,2019,25518
OSBS,401000_3277000,2018,17973
OSBS,403000_3286000,2018,15749
WREF,590000_5076000,2019,43713
BONA,480000_7224000,2018,11339
BART,319000_4875000,2019,42983
WREF,579000_5078000,2019,33110
SOAP,305000_4100000,2019,22578
TEAK,322000_4093000,2019,13527
DELA,421000_3599000,2019,20215
OSBS,408000_3287000,2018,26465
WREF,572000_5077000,2018,25686
OSBS,399000_3277000,2019,16181
BONA,474000_7225000,2018,31894
TEAK,313000_4094000,2018,14142
WREF,579000_5075000,2019,29256
TEAK,323000_4097000,2019,14458
TEAK,316000_4103000,2018,17239
BONA,482000_7224000,2019,3957
OSBS,406000_3284000,2019,25132
BONA,476000_7231000,2019,30928
BONA,480000_7226000,2019,21002
WREF,572000_5080000,2018,14303
WREF,574000_5075000,2018,24835
BART,314000_4882000,2018,35737
DELA,421000_3605000,2019,46509
BART,315000_4882000,2019,32930
WREF,579000_5077000,2019,40534
TEAK,323000_4099000,2019,23619
BART,315000_4881000,2019,37097
OSBS,399000_3284000,2018,18245
BART,314000_4881000,2018,41526
OSBS,407000_3281000,2018,12641
OSBS,409000_3284000,2019,22291
WREF,581000_5081000,2018,21476
OSBS,408000_3289000,2018,16647
BONA,479000_7225000,2019,25685
SOAP,296000_4107000,2019,22769
WREF,574000_5076000,2018,26180
OSBS,402000_3282000,2019,21288
BART,318000_4880000,2019,45537
SOAP,300000_4099000,2018,16381
WREF,588000_5076000,2018,18480
WREF,583000_5076000,2019,32541
BONA,482000_7228000,2019,1412
OSBS,403000_3284000,2018,22458
SOAP,299000_4104000,2018,16740
WREF,577000_5072000,2019,41154
BONA,471000_7229000,2019,56442
OSBS,407000_3285000,2019,30650
TEAK,321000_4104000,2019,18080
OSBS,404000_3277000,2019,32733
TEAK,323000_4104000,2018,18109
BONA,483000_7233000,2019,8760
BART,319000_4877000,2018,41702
BONA,470000_7228000,2019,58195
WREF,587000_5076000,2018,19090
WREF,574000_5073000,2019,40584
BONA,481000_7223000,2018,1044
BART,314000_4875000,2018,30597
TEAK,318000_4103000,2018,12146
OSBS,408000_3285000,2019,26474
OSBS,408000_3286000,2019,30512
OSBS,399000_3278000,2018,16096
BART,322000_4874000,2018,33726
SOAP,303000_4098000,2019,25465
BONA,479000_7234000,2019,17181
WREF,570000_5081000,2018,21433
TEAK,318000_4097000,2019,16511
WREF,575000_5072000,2019,31832
OSBS,402000_3280000,2019,623
WREF,586000_5078000,2018,22508
TEAK,323000_4098000,2019,18342
TEAK,316000_4098000,2018,15283
TEAK,324000_4104000,2018,10967
SOAP,302000_4104000,2018,15724
SOAP,296000_4101000,2019,21014
TEAK,321000_4104000,2018,18404
BONA,480000_7225000,2019,46816
SOAP,299000_4099000,2018,12376
WREF,572000_5072000,2018,27673
BONA,470000_7224000,2018,40796
TEAK,315000_4100000,2019,17662
SOAP,300000_4098000,2019,17054
BONA,480000_7234000,2019,5972
BART,316000_4878000,2018,41107
OSBS,405000_3285000,2018,13506
OSBS,403000_3284000,2019,24821
DELA,419000_3597000,2018,8813
